nx_shortest_path_length,nx_shortest_travel_time_length,shortest_steps,time_steps
3114.5550000000003,200.20000000000005,34.0,40.0
1577.758,101.60000000000001,23.0,23.0
2636.8680000000004,194.60000000000002,34.0,26.0
3169.4480000000003,235.70000000000002,30.0,30.0
2621.592,178.10000000000002,35.0,30.0
1929.303,132.70000000000005,24.0,23.0
3022.9010000000007,210.09999999999997,33.0,34.0
2883.792,205.09999999999997,30.0,25.0
5245.463000000001,371.59999999999985,55.0,53.0
2665.954999999999,180.70000000000002,33.0,22.0
2307.857,157.29999999999998,29.0,21.0
3038.471,217.29999999999998,36.0,28.0
2087.0260000000003,130.2,17.0,14.0
2392.7869999999994,165.70000000000002,26.0,26.0
2392.7869999999994,165.70000000000002,26.0,26.0
4419.696,315.70000000000005,47.0,40.0
4143.360000000001,270.0,42.0,42.0
3386.7970000000005,225.5,35.0,20.0
3688.1889999999994,264.2,42.0,42.0
2924.9569999999994,199.19999999999996,29.0,29.0
2528.1749999999997,170.19999999999996,32.0,33.0
3689.7190000000005,266.5,30.0,30.0
2432.332,189.79999999999998,18.0,18.0
2853.491000000001,190.80000000000004,36.0,35.0
2051.713,140.1,21.0,23.0
2939.1630000000005,195.1,27.0,27.0
1468.7089999999998,108.60000000000001,18.0,18.0
1375.9050000000002,93.0,13.0,12.0
1460.8990000000001,99.50000000000001,16.0,16.0
4240.977000000001,297.79999999999995,40.0,39.0
4232.366999999999,292.8,37.0,42.0
77.847,5.1,2.0,2.0
3200.966,212.39999999999998,31.0,37.0
1735.8479999999997,170.59999999999997,17.0,19.0
5212.648,373.3999999999999,53.0,46.0
2067.528,149.70000000000002,24.0,24.0
5131.511,344.29999999999995,58.0,60.0
3090.013,223.89999999999998,28.0,31.0
3307.2840000000006,216.70000000000005,37.0,43.0
1095.6480000000001,77.6,19.0,19.0
2950.891,229.50000000000003,31.0,29.0
3112.5319999999992,202.2,30.0,30.0
1579.947,113.6,18.0,19.0
2269.4169999999995,136.9,19.0,19.0
5580.624999999999,352.9000000000001,45.0,45.0
2961.0480000000002,208.5,37.0,33.0
1287.4080000000001,94.4,19.0,17.0
1927.8890000000001,125.29999999999998,21.0,21.0
3631.0159999999987,260.70000000000005,32.0,33.0
3164.1489999999985,210.89999999999998,32.0,31.0
2427.8629999999994,176.50000000000003,24.0,24.0
5351.682,383.3999999999999,54.0,53.0
4396.067,321.10000000000014,41.0,40.0
2777.2030000000004,190.39999999999998,33.0,37.0
1334.3969999999997,99.10000000000001,20.0,16.0
2776.5879999999997,198.60000000000002,28.0,31.0
331.68499999999995,58.9,6.0,6.0
1633.456,114.69999999999999,20.0,20.0
2987.9809999999998,196.1,37.0,28.0
3318.6090000000004,238.29999999999995,41.0,43.0
2164.1479999999997,154.5,26.0,26.0
3628.2650000000003,269.69999999999993,47.0,47.0
3391.7289999999994,253.00000000000006,38.0,30.0
3127.1170000000006,216.00000000000003,36.0,38.0
3106.302,206.90000000000006,35.0,35.0
3947.9440000000004,234.5,46.0,23.0
3423.262,233.79999999999998,34.0,34.0
4897.968000000001,322.7999999999999,60.0,59.0
1961.4569999999999,132.2,12.0,12.0
2210.8959999999997,162.6,17.0,18.0
2083.1059999999993,138.60000000000002,23.0,25.0
3047.28,215.90000000000003,36.0,35.0
3336.9020000000005,229.60000000000005,44.0,44.0
4462.784000000001,288.9999999999999,44.0,33.0
1973.919,138.4,28.0,25.0
5701.057000000002,387.3,71.0,45.0
4358.0779999999995,229.60000000000002,45.0,27.0
2200.3240000000005,145.50000000000003,28.0,28.0
2234.1380000000004,148.6,17.0,17.0
2634.875,194.70000000000002,22.0,24.0
2426.791,157.4,30.0,34.0
1574.9070000000002,100.90000000000002,21.0,21.0
3103.791000000001,205.7,34.0,35.0
1437.246,98.99999999999999,13.0,13.0
3615.0190000000007,236.99999999999991,38.0,38.0
3139.5929999999994,220.4,33.0,35.0
5586.943999999998,382.9,71.0,63.0
3788.759999999999,250.79999999999998,41.0,31.0
2577.0730000000003,198.6,17.0,17.0
2932.47,212.79999999999998,31.0,33.0
1585.1750000000002,112.20000000000002,9.0,9.0
1452.581,103.6,12.0,12.0
4150.081,260.0,38.0,28.0
5259.225999999999,371.3,60.0,49.0
4034.907,256.0,45.0,40.0
3063.317,222.4,31.0,31.0
4439.0380000000005,293.79999999999995,38.0,34.0
3086.5080000000007,198.50000000000003,36.0,42.0
4206.561,281.40000000000015,48.0,47.0
4348.781,306.0,48.0,52.0
3100.868,209.3,36.0,31.0
3436.5289999999995,233.0,30.0,33.0
4984.371000000001,348.09999999999997,55.0,40.0
3461.0849999999996,234.20000000000002,36.0,32.0
2973.596,221.7,27.0,27.0
2621.068,187.19999999999996,38.0,38.0
2433.5340000000006,173.4,28.0,29.0
2094.6639999999998,156.3,22.0,22.0
4093.158999999999,292.4,40.0,42.0
3867.01,245.9,46.0,35.0
4189.249999999999,297.3,36.0,38.0
3350.803,226.89999999999998,33.0,27.0
