nx_shortest_path_length,nx_shortest_travel_time_length,shortest_steps,time_steps
1230.099,82.9,12.0,12.0
628.3609999999999,40.9,8.0,8.0
3379.272999999999,237.89999999999995,38.0,40.0
2091.188,140.39999999999998,25.0,24.0
2676.388,192.2,34.0,34.0
3901.234,278.2,36.0,34.0
4428.166,310.39999999999986,39.0,38.0
3815.812,281.9999999999999,44.0,44.0
3687.0190000000002,202.70000000000002,30.0,23.0
3580.7470000000003,236.70000000000002,37.0,42.0
5346.032000000001,386.2,59.0,56.0
3893.8849999999998,249.10000000000002,35.0,19.0
4430.286000000001,309.29999999999984,37.0,38.0
1447.0380000000002,104.6,16.0,14.0
1266.8040000000003,150.8,15.0,17.0
376.36400000000003,28.1,7.0,7.0
1596.323,118.2,21.0,21.0
6709.5560000000005,459.99999999999983,61.0,73.0
2187.5910000000003,143.7,23.0,22.0
3757.376,273.0,39.0,39.0
4003.321000000001,238.90000000000003,39.0,36.0
3119.487,223.6,35.0,35.0
2416.0,180.59999999999997,29.0,29.0
1900.014,124.50000000000003,23.0,23.0
1682.7229999999997,119.00000000000001,28.0,28.0
3447.001,249.9,31.0,34.0
3311.1919999999996,221.09999999999997,46.0,44.0
3698.135,251.80000000000004,47.0,49.0
3556.289,248.7,30.0,33.0
3454.219,238.60000000000002,40.0,40.0
2178.191,158.69999999999996,18.0,18.0
3720.4470000000006,260.79999999999995,38.0,33.0
2642.629,164.5,20.0,20.0
2774.69,200.6,31.0,31.0
1688.3580000000002,125.89999999999999,24.0,24.0
2778.167,200.29999999999998,19.0,20.0
3708.3850000000007,262.40000000000003,40.0,46.0
2422.739,157.60000000000002,30.0,29.0
4214.045,280.50000000000006,50.0,51.0
3581.3590000000004,252.49999999999997,39.0,39.0
2427.8819999999996,153.20000000000002,26.0,26.0
4486.811999999999,311.20000000000005,47.0,46.0
1942.017,104.9,15.0,15.0
4053.2739999999994,279.9,46.0,43.0
2839.306000000001,199.49999999999994,30.0,30.0
3941.332,201.89999999999998,19.0,18.0
4484.597,297.50000000000006,44.0,42.0
4261.686000000001,298.50000000000006,49.0,49.0
3896.3019999999997,259.00000000000006,43.0,38.0
2003.3690000000004,149.50000000000003,28.0,30.0
3562.2000000000007,201.5,21.0,20.0
849.527,57.400000000000006,9.0,9.0
2492.032,262.5,34.0,38.0
1288.4370000000001,127.4,15.0,17.0
3275.7980000000007,215.3,33.0,33.0
745.189,77.0,9.0,9.0
2712.0949999999993,181.59999999999994,27.0,24.0
1338.4640000000002,94.3,14.0,15.0
598.053,38.9,6.0,6.0
404.91400000000004,26.3,5.0,5.0
5289.372000000002,377.29999999999995,39.0,37.0
711.95,50.5,6.0,6.0
3720.364999999999,251.39999999999998,36.0,36.0
5417.406999999999,364.90000000000015,49.0,43.0
3896.074,220.10000000000005,37.0,27.0
5042.314,338.69999999999993,59.0,50.0
3685.372,260.30000000000007,33.0,33.0
1896.4319999999998,138.70000000000002,18.0,18.0
699.325,46.800000000000004,10.0,10.0
4369.058999999998,306.59999999999997,43.0,40.0
3108.2939999999994,226.09999999999997,40.0,40.0
2924.5930000000003,210.80000000000004,42.0,41.0
542.657,35.7,6.0,6.0
4621.615000000001,323.5999999999999,40.0,40.0
2460.1369999999997,176.7,31.0,26.0
3449.718999999999,257.00000000000006,33.0,32.0
2304.7940000000003,160.0,20.0,20.0
3049.173,170.7,16.0,16.0
3715.608000000001,262.7,30.0,30.0
1065.9399999999998,72.30000000000001,14.0,14.0
3772.696,274.3,34.0,37.0
2476.649000000001,178.6,28.0,28.0
2234.341,155.50000000000006,22.0,21.0
1899.4649999999997,141.30000000000004,26.0,27.0
1553.0430000000003,115.3,18.0,18.0
3601.1250000000005,252.70000000000002,38.0,38.0
791.126,57.0,10.0,11.0
2099.334,149.70000000000002,22.0,24.0
4578.172999999999,286.20000000000005,27.0,27.0
3180.4310000000005,210.99999999999997,27.0,27.0
4105.696999999998,290.1,44.0,46.0
404.298,61.699999999999996,5.0,5.0
1461.2089999999998,102.2,13.0,13.0
4009.442999999999,284.00000000000006,40.0,46.0
1560.8270000000002,104.8,21.0,21.0
1672.6589999999999,119.5,19.0,19.0
4540.840999999998,238.00000000000006,27.0,27.0
3459.075,239.6,32.0,32.0
3244.6040000000003,225.99999999999994,28.0,31.0
3561.2309999999998,251.3,35.0,35.0
3440.5119999999997,246.39999999999998,37.0,36.0
254.476,17.3,4.0,4.0
254.476,17.3,4.0,4.0
5241.583,370.69999999999993,51.0,53.0
658.818,43.6,9.0,9.0
1923.986,140.59999999999997,23.0,25.0
3312.8199999999997,210.50000000000003,29.0,30.0
3181.747,224.79999999999998,30.0,29.0
4797.232,342.90000000000003,56.0,51.0
3388.134,270.1,31.0,31.0
943.114,66.5,11.0,11.0
3367.479,246.9000000000001,34.0,31.0
4969.183000000003,349.69999999999993,46.0,44.0
4551.528999999999,325.59999999999997,43.0,43.0
2401.8549999999996,178.10000000000002,26.0,26.0
4222.714999999999,300.7999999999999,41.0,43.0
1617.0240000000001,90.8,13.0,13.0
3739.5989999999997,268.6,46.0,31.0
4100.492,294.2,37.0,37.0
2601.555,194.4,30.0,30.0
485.52299999999997,32.2,8.0,8.0
3655.475,265.2,35.0,35.0
974.519,63.30000000000001,15.0,15.0
4622.903,334.7,47.0,42.0
2137.719,163.20000000000002,18.0,18.0
3018.2379999999994,222.5,27.0,31.0
3260.6749999999997,226.4,29.0,27.0
3260.6749999999997,226.4,29.0,27.0
1087.893,82.6,11.0,11.0
2282.899,165.70000000000002,25.0,28.0
2373.5749999999994,177.29999999999998,25.0,25.0
17.265,1.2999999999999998,3.0,3.0
3221.946,188.4,13.0,13.0
3860.738,255.00000000000003,38.0,42.0
2573.1680000000006,181.00000000000006,27.0,27.0
1355.509,101.0,12.0,12.0
1354.5629999999999,105.2,12.0,12.0
3935.4,298.1,39.0,38.0
3762.163,254.29999999999995,40.0,48.0
2463.4880000000003,174.99999999999997,32.0,32.0
4065.6299999999997,272.4,44.0,38.0
2127.37,128.20000000000002,18.0,18.0
2787.9419999999996,196.5,29.0,31.0
2107.597,136.0,22.0,22.0
3240.324,226.70000000000005,31.0,25.0
1274.249,82.89999999999999,18.0,18.0
2769.569,182.20000000000002,27.0,24.0
3007.5790000000006,208.2,30.0,32.0
3631.462,269.90000000000003,34.0,34.0
1127.831,82.9,15.0,15.0
1285.1770000000001,92.19999999999999,11.0,13.0
2196.086,147.90000000000003,22.0,23.0
2672.034,276.0,26.0,33.0
5383.240999999998,387.3,60.0,52.0
3069.27,231.29999999999998,27.0,28.0
1645.5569999999998,107.29999999999998,22.0,22.0
3660.722,245.50000000000003,39.0,40.0
621.725,44.8,11.0,11.0
1681.7389999999998,115.39999999999999,24.0,21.0
1684.2139999999997,125.69999999999997,18.0,18.0
1062.134,70.30000000000001,18.0,17.0
2569.2670000000003,173.6,25.0,26.0
3567.9220000000005,253.2,43.0,28.0
1002.6929999999999,74.9,20.0,20.0
3805.044000000001,273.5,46.0,41.0
1847.7930000000001,160.3,22.0,22.0
2989.633,178.00000000000003,23.0,23.0
2311.998,158.50000000000003,26.0,30.0
3930.715,279.59999999999997,36.0,34.0
2533.33,164.1,25.0,28.0
773.106,50.400000000000006,10.0,10.0
2246.769,155.39999999999998,31.0,24.0
2188.218,150.5,24.0,24.0
3594.2729999999997,257.8,36.0,38.0
1449.797,102.6,18.0,15.0
2066.154,138.79999999999998,20.0,20.0
2488.477,178.20000000000002,21.0,18.0
1171.509,77.6,15.0,14.0
2410.214,157.30000000000007,24.0,22.0
1826.2740000000001,105.50000000000001,13.0,13.0
1223.4869999999996,79.19999999999999,15.0,15.0
4346.312000000001,299.9000000000001,52.0,46.0
2040.489,172.40000000000003,26.0,25.0
1423.712,135.60000000000002,17.0,18.0
3365.6470000000013,237.3,44.0,43.0
3663.6369999999993,264.3000000000001,34.0,34.0
3967.622,283.70000000000005,49.0,43.0
2349.641,173.79999999999993,22.0,22.0
1828.6400000000003,133.50000000000003,23.0,22.0
2313.018,172.3,29.0,30.0
1096.0960000000002,80.10000000000001,13.0,13.0
2934.6419999999994,204.10000000000002,22.0,31.0
1806.1670000000001,121.29999999999997,27.0,26.0
4369.027000000001,279.90000000000003,49.0,42.0
2898.5290000000005,197.29999999999998,29.0,34.0
3464.795000000001,235.40000000000003,34.0,34.0
3559.4750000000013,256.79999999999995,43.0,38.0
4714.360000000001,319.0999999999999,53.0,53.0
1497.8859999999997,102.2,18.0,18.0
2263.813,157.5,32.0,35.0
3093.8500000000004,203.3,34.0,34.0
3694.859,244.10000000000002,37.0,42.0
3938.2000000000007,214.9,48.0,14.0
4116.496000000001,306.99999999999994,51.0,52.0
2683.8409999999994,140.60000000000002,13.0,13.0
4037.5190000000007,291.09999999999997,32.0,32.0
1682.0140000000001,124.39999999999999,22.0,22.0
4523.373999999999,308.09999999999997,53.0,55.0
4715.931,340.8,52.0,50.0
874.779,67.69999999999999,10.0,10.0
3387.99,265.90000000000003,32.0,32.0
3008.604,205.60000000000005,31.0,29.0
539.248,40.2,10.0,10.0
4277.875999999999,246.0,32.0,34.0
3636.164,262.6000000000001,35.0,38.0
2176.248,150.1,23.0,27.0
565.095,38.1,10.0,10.0
3514.709,253.20000000000005,30.0,30.0
1813.893,121.2,22.0,22.0
5261.363000000001,371.69999999999993,47.0,52.0
2913.5530000000003,199.5,33.0,35.0
4364.949,309.79999999999995,37.0,40.0
2954.2110000000007,203.40000000000003,35.0,34.0
3345.5379999999996,221.3,36.0,30.0
5197.0340000000015,376.7999999999999,48.0,46.0
3664.1229999999996,268.9,40.0,40.0
5216.989,341.99999999999994,62.0,60.0
1259.6560000000002,84.8,12.0,12.0
3777.650999999999,249.80000000000007,44.0,35.0
2689.864999999999,178.80000000000004,26.0,26.0
4379.284999999997,231.39999999999998,49.0,29.0
2477.89,163.20000000000002,27.0,27.0
5260.841000000001,383.7999999999999,58.0,52.0
3541.239999999999,224.79999999999998,20.0,20.0
2137.016,148.7,25.0,25.0
3946.205000000001,266.0999999999999,41.0,41.0
5783.927,404.2000000000001,52.0,47.0
609.8370000000001,43.0,8.0,8.0
3118.1330000000003,224.99999999999997,29.0,32.0
4223.492,324.20000000000016,45.0,45.0
4637.114999999999,309.9,43.0,36.0
2859.374,206.0,34.0,33.0
1145.552,77.0,14.0,14.0
2143.8790000000004,146.10000000000002,19.0,19.0
3809.556999999999,276.0,41.0,41.0
