nx_shortest_path_length,nx_shortest_travel_time_length,shortest_steps,time_steps,unique_node
3820.6359999999995,276.4,38,38,True
4001.701,230.79999999999995,36,34,True
441.408,30.3,5,5,True
2553.7110000000007,167.29999999999998,28,29,True
4597.361,309.9,58,40,True
2022.8060000000005,138.4,15,15,True
4965.825,357.00000000000006,45,45,True
1812.6130000000003,124.20000000000003,24,22,True
1775.8159999999998,116.99999999999999,18,17,True
3109.7799999999997,221.70000000000002,36,36,True
2432.294,172.49999999999997,15,16,True
4540.124000000002,313.7,50,51,True
2522.7219999999998,165.4,24,25,True
4266.296,292.79999999999995,38,43,True
1441.3089999999997,105.09999999999998,26,25,True
5947.840999999999,408.60000000000014,48,48,True
3434.233,233.20000000000005,43,44,True
2904.7519999999995,212.50000000000003,37,29,True
3396.4889999999996,224.79999999999993,38,39,True
2944.464,205.8,32,31,True
2183.476,157.3,20,20,True
4598.419999999999,306.69999999999993,52,29,True
5129.400000000001,361.4,44,39,True
1286.6860000000001,84.30000000000001,16,17,True
3097.6009999999997,221.39999999999995,30,30,True
3202.007,204.50000000000003,37,37,True
2687.3770000000004,183.1,21,23,True
2399.205,155.6,12,12,True
3278.7300000000005,234.29999999999998,32,34,True
3171.482000000001,216.10000000000002,37,37,True
4631.1539999999995,313.5,48,53,True
4716.382999999999,291.90000000000003,48,42,True
2438.151,162.1,18,25,True
1772.3239999999998,128.7,26,26,True
1168.06,75.30000000000001,14,14,True
2695.1979999999994,175.90000000000006,31,30,True
1040.295,148.70000000000002,11,11,True
2819.1369999999993,204.99999999999994,29,29,True
1453.975,94.3,13,13,True
3580.834,262.1000000000001,36,36,True
4264.249000000001,301.50000000000006,45,45,True
2226.377,145.3,17,19,True
1471.907,97.39999999999999,15,18,True
4847.354999999999,320.0,43,46,True
1558.846,107.2,22,17,True
1366.5579999999998,93.30000000000001,18,18,True
3480.061999999999,254.39999999999998,31,31,True
3567.8439999999996,244.80000000000007,43,28,True
2503.7949999999996,172.39999999999998,29,31,True
2759.19,177.39999999999998,27,29,True
2074.9129999999996,149.89999999999998,25,27,True
832.394,57.0,11,11,True
4298.244999999999,262.4,41,33,True
4228.194,269.5,39,35,True
2463.422,174.7,27,29,True
3224.3839999999996,227.60000000000005,34,34,True
1145.917,73.60000000000001,14,14,True
4780.612999999999,322.19999999999993,57,40,True
3141.745,208.99999999999997,31,31,True
3288.424,217.49999999999997,36,22,True
2376.4909999999995,228.9,29,31,True
2833.0210000000006,198.99999999999997,29,33,True
853.577,59.0,7,7,True
3330.765000000001,238.8,30,38,True
2402.721,169.0,26,29,True
2489.9529999999995,181.10000000000005,27,23,True
4537.6,304.50000000000006,47,37,True
3746.104,252.60000000000002,39,37,True
1572.048,117.10000000000001,9,9,True
5044.51,354.2,41,40,True
5748.186,400.0,49,51,True
2481.421,180.10000000000002,36,36,True
4143.784000000001,279.40000000000003,48,40,True
996.1249999999999,64.7,15,15,True
3313.904,241.1,35,36,True
1341.287,89.1,14,12,True
2578.488999999999,171.3,29,29,True
2727.6590000000006,175.10000000000002,30,30,True
1592.7230000000002,114.39999999999999,27,27,True
