nx_shortest_path_length,nx_shortest_travel_time_length,shortest_steps,time_steps,unique_node
3433.2300000000005,242.1,40,40,True
4340.839,307.8999999999999,46,39,True
1657.0529999999999,117.80000000000003,19,18,True
5552.399000000001,380.2,63,53,True
1897.0259999999998,112.39999999999999,15,15,True
586.203,43.8,10,10,True
4270.542,285.9,46,40,True
375.78499999999997,24.299999999999997,6,6,True
4650.112000000001,265.79999999999995,40,40,True
2900.6620000000003,211.09999999999997,30,30,True
3753.9689999999996,273.8,40,43,True
956.874,69.69999999999999,10,10,True
2970.5630000000006,195.79999999999998,30,30,True
4401.798999999999,298.1,53,50,True
3111.6679999999997,173.9,42,18,True
1572.4570000000003,102.10000000000002,21,21,True
4134.9980000000005,252.1,34,27,True
3892.391,277.5,39,35,True
763.448,52.70000000000001,9,9,True
525.888,34.1,8,8,True
4160.847,287.70000000000005,42,41,True
1607.4389999999999,114.8,15,18,True
4913.866000000002,340.9,53,54,True
2215.26,156.0,28,28,True
4302.884,305.8999999999999,49,45,True
3737.4620000000004,269.19999999999993,30,30,True
5835.833,414.1,67,58,True
1635.2110000000002,109.1,20,20,True
941.0360000000001,61.19999999999999,13,13,True
1304.745,90.69999999999999,16,13,True
1785.212,121.10000000000001,23,22,True
3786.309999999999,266.59999999999997,35,38,True
3480.048,245.20000000000002,34,32,True
2587.965,172.1,29,33,True
1228.2910000000002,90.69999999999999,15,15,True
2820.713000000001,191.60000000000002,32,34,True
681.106,44.099999999999994,10,10,True
2551.2830000000004,179.20000000000002,30,36,True
3589.3760000000007,248.3,30,30,True
1348.2340000000004,96.5,19,19,True
1459.4699999999998,108.70000000000002,15,15,True
3428.9129999999996,247.7,43,43,True
2138.12,145.5,19,19,True
3995.9649999999992,266.9000000000001,36,26,True
3982.236,262.4,37,40,True
4541.798999999999,297.90000000000003,50,52,True
3881.8850000000007,273.3999999999999,36,36,True
2500.458,175.29999999999998,32,30,True
2104.7200000000003,221.50000000000003,21,31,True
4529.057,305.3,46,47,True
4437.556,321.7,40,42,True
5834.909000000001,385.79999999999995,60,60,True
2946.239,211.29999999999998,41,40,True
1177.5439999999999,82.1,11,13,True
6346.483000000002,429.5,55,55,True
3170.2729999999997,210.80000000000004,32,35,True
2282.0110000000004,160.9,24,25,True
3784.0859999999993,279.5,43,43,True
3272.3199999999997,231.6,39,37,True
2628.6639999999998,188.8,29,29,True
1589.303,104.2,24,20,True
3524.2000000000007,248.70000000000005,47,45,True
4599.292999999999,329.7000000000001,39,39,True
2398.2270000000008,175.9,23,23,True
5001.379000000001,329.09999999999997,57,58,True
954.0110000000001,61.8,13,13,True
4843.575000000001,339.2000000000001,43,42,True
1187.727,79.8,13,13,True
2725.1440000000002,178.4,31,31,True
4673.964,308.3999999999999,52,52,True
2977.3160000000003,156.8,22,14,True
1196.3899999999999,88.49999999999999,11,11,True
3715.998,257.70000000000005,38,37,True
4465.024999999999,293.0,49,51,True
4308.695000000001,296.0,39,44,True
4505.105,345.19999999999993,46,46,True
4110.091,289.49999999999994,44,44,True
1826.1190000000001,195.1,25,31,True
1125.187,75.3,13,15,True
449.055,29.6,5,5,True
3518.6460000000006,237.79999999999995,42,41,True
2099.9480000000003,174.90000000000006,32,31,True
2489.844,184.29999999999998,23,23,True
6196.149,430.90000000000003,66,70,True
2333.621,168.29999999999998,25,25,True
4291.5599999999995,306.5,40,40,True
3071.1420000000003,215.49999999999997,36,36,True
4583.323000000001,309.7999999999999,54,53,True
2720.7250000000004,195.8,27,27,True
2098.698,138.6,27,27,True
1039.2199999999998,69.1,9,9,True
5635.911,355.7,68,39,True
3698.9920000000006,205.19999999999996,27,27,True
5899.477999999999,399.40000000000015,59,62,True
1605.6939999999997,113.80000000000001,13,13,True
3305.8630000000003,229.99999999999997,26,25,True
1868.567,135.70000000000002,20,24,True
4272.23,233.9,28,28,True
2445.2060000000006,164.89999999999998,35,37,True
4655.622000000001,326.49999999999994,57,50,True
3892.146,253.29999999999993,37,39,True
924.9839999999999,60.49999999999999,11,11,True
4729.166999999999,303.3,50,39,True
5207.6770000000015,355.6,57,45,True
4688.191000000001,313.30000000000007,45,45,True
3316.327,178.50000000000003,28,20,True
1820.3210000000004,119.60000000000002,27,26,True
509.12899999999996,37.1,10,10,True
1365.652,96.89999999999999,12,19,True
917.236,66.7,10,10,True
3335.846999999999,221.6,31,31,True
2596.8289999999997,173.8,21,21,True
4829.741,320.4,48,48,True
2246.609,157.4,18,18,True
4317.7699999999995,302.79999999999995,35,38,True
1427.0729999999999,95.80000000000001,18,18,True
