nx_shortest_path_length,nx_shortest_travel_time_length,shortest_steps,time_steps,unique_node
1178.074,80.39999999999999,15,15,True
4088.7900000000004,290.0999999999999,41,40,True
2940.9990000000003,204.10000000000002,26,26,True
503.05499999999995,35.2,7,7,True
3181.8500000000013,185.39999999999998,30,30,True
3354.0669999999996,237.79999999999998,34,34,True
2987.843,197.20000000000002,38,38,True
288.64,20.1,3,3,True
3947.3999999999987,283.2,36,38,True
187.833,13.0,3,3,True
2885.064,209.20000000000002,27,26,True
3089.2210000000005,215.9,31,26,True
3631.211,256.09999999999997,30,31,True
3234.4019999999996,229.60000000000002,31,31,True
4626.216,310.7999999999999,48,47,True
3171.1210000000005,222.29999999999998,30,30,True
5648.724999999999,382.79999999999995,53,61,True
4066.214,283.70000000000005,46,35,True
318.959,21.299999999999997,5,5,True
886.043,61.9,11,11,True
2429.5229999999997,177.79999999999998,31,31,True
2920.1229999999996,189.5,26,28,True
3193.327,228.70000000000002,35,35,True
4507.642999999999,292.2,46,43,True
2314.923,161.10000000000002,23,22,True
2215.6490000000003,162.29999999999998,27,27,True
5223.264999999999,315.5,39,33,True
482.706,91.19999999999999,11,9,True
2818.425,184.6999999999999,28,28,True
934.7459999999999,62.500000000000014,14,13,True
2876.383,186.3,26,22,True
4205.431,275.09999999999997,47,46,True
2394.138,167.50000000000003,20,20,True
3570.218,224.39999999999998,29,29,True
3852.240999999999,271.6,47,44,True
2423.6689999999994,166.4,24,25,True
2376.373,164.3,33,32,True
1278.839,179.30000000000004,15,17,True
4138.531000000001,294.79999999999995,45,43,True
2815.4329999999995,143.79999999999998,16,16,True
4723.835000000001,334.3999999999999,52,45,True
3854.831,275.2,32,32,True
3657.5649999999996,242.2,40,40,True
2162.025,140.60000000000002,18,20,True
4174.293000000001,299.0,30,30,True
4229.047,259.2,39,39,True
1697.4919999999995,111.9,23,23,True
4637.480999999999,302.2,45,32,True
2375.48,165.99999999999997,27,29,True
4119.165,287.40000000000003,44,44,True
3204.2240000000015,222.8,36,38,True
1395.4329999999995,90.60000000000001,20,19,True
3729.0209999999997,264.70000000000005,45,30,True
3622.6180000000004,233.70000000000002,40,39,True
4904.845000000001,327.39999999999986,55,55,True
176.397,11.5,4,4,True
897.2899999999998,62.3,11,11,True
3150.5629999999996,222.10000000000002,36,32,True
3148.1200000000003,229.79999999999998,31,30,True
1460.329,99.7,15,16,True
4847.706999999999,293.19999999999993,35,34,True
3706.6480000000006,243.9,43,38,True
5371.083999999999,352.7000000000001,51,48,True
5402.630000000002,379.0999999999999,50,43,True
1958.996,139.79999999999998,23,22,True
3338.296,236.20000000000005,41,39,True
2738.3740000000003,190.6,30,25,True
3256.8130000000006,236.2,27,28,True
5045.118,350.9000000000001,46,49,True
3171.454,193.5,18,19,True
4644.955000000001,327.9999999999999,51,53,True
5557.414999999999,384.90000000000015,46,46,True
2506.809,176.10000000000002,32,30,True
3612.8009999999995,258.2,34,37,True
3170.5989999999993,224.89999999999998,42,30,True
4095.4899999999993,305.2,43,43,True
3816.3819999999996,265.5,38,38,True
1673.9729999999997,121.2,24,25,True
1406.6750000000002,95.1,19,19,True
1171.3490000000002,77.6,16,16,True
3068.1959999999995,222.0,37,34,True
3189.0930000000003,198.49999999999997,31,31,True
