nx_shortest_path_length,nx_shortest_travel_time_length,shortest_steps,time_steps,unique_node
2773.903000000001,180.80000000000004,28,29,True
5165.603,333.3,51,36,True
2295.0190000000002,170.39999999999998,23,23,True
3804.0720000000006,271.0,36,31,True
3913.2869999999994,273.3,47,44,True
3492.666999999999,233.90000000000006,39,32,True
984.282,65.0,16,12,True
4720.246999999999,325.9999999999999,49,49,True
3039.4010000000003,200.8,26,29,True
1417.089,100.39999999999999,16,16,True
3293.468,285.00000000000006,17,15,True
1652.692,109.9,10,10,True
4226.309000000001,295.5,48,48,True
2512.376,169.60000000000002,22,21,True
2657.7370000000005,174.8,24,24,True
1376.4009999999998,97.3,25,25,True
536.395,181.10000000000002,6,8,True
4010.5090000000005,263.2,48,43,True
2673.4450000000006,190.80000000000004,30,30,True
3761.76,213.09999999999997,28,28,True
1029.463,68.2,15,15,True
1733.4419999999996,124.6,27,27,True
3309.415,233.59999999999994,25,25,True
3521.684,258.0,41,43,True
4194.521,427.7999999999999,36,46,True
2882.065,187.09999999999997,27,27,True
5735.302,408.50000000000006,57,52,True
3597.7969999999996,262.40000000000003,39,39,True
2525.3669999999997,179.6,25,25,True
4699.821000000001,328.8,43,47,True
4106.78,300.5,46,46,True
2602.66,187.20000000000002,31,32,True
2676.869,175.90000000000003,31,27,True
3138.361999999999,224.7,36,36,True
2903.4930000000004,188.59999999999997,28,28,True
3278.2260000000006,217.0,28,31,True
581.19,37.9,9,9,True
2402.8989999999994,173.69999999999996,27,27,True
964.795,62.7,12,10,True
2057.178,134.49999999999997,28,28,True
764.3249999999999,52.2,10,10,True
1566.4930000000002,111.1,15,15,True
2886.4509999999996,185.49999999999994,28,28,True
3986.4579999999996,216.8,25,26,True
1354.1499999999999,87.10000000000001,20,20,True
4577.682000000001,263.09999999999997,47,28,True
4051.2919999999995,267.30000000000007,39,42,True
1235.2849999999999,80.89999999999999,18,13,True
1750.9799999999998,203.99999999999994,25,29,True
1004.2389999999999,67.1,12,12,True
5027.4540000000015,319.1000000000001,48,37,True
4805.900000000001,338.9000000000001,63,46,True
4010.1259999999993,287.80000000000007,35,36,True
1541.568,112.9,19,19,True
1676.03,115.9,14,17,True
3254.017,213.20000000000005,35,35,True
3032.073,210.6,28,28,True
2503.1949999999993,164.39999999999998,26,26,True
4882.579000000001,353.59999999999997,39,39,True
5642.512999999998,368.49999999999994,49,41,True
3120.288,219.2,36,31,True
3528.925,254.69999999999996,38,38,True
5272.093999999999,367.40000000000015,43,43,True
3648.5740000000005,260.6,38,38,True
1699.6380000000001,110.70000000000002,23,21,True
3015.0030000000006,215.2,33,33,True
990.2250000000001,64.60000000000001,15,15,True
2896.5110000000004,253.59999999999997,35,32,True
4638.786999999999,323.5999999999999,38,41,True
1903.6260000000004,133.7,24,25,True
3668.6189999999997,263.29999999999995,46,46,True
4701.687,336.1,63,63,True
4981.1370000000015,349.1999999999998,58,60,True
3902.979999999999,282.8999999999999,41,41,True
2097.9419999999996,154.8,29,30,True
1257.806,83.10000000000001,18,18,True
3558.4410000000003,264.59999999999997,32,36,True
589.772,38.699999999999996,10,9,True
3344.8340000000007,228.00000000000006,35,40,True
3980.249,244.09999999999997,34,25,True
3998.201000000001,283.3999999999999,41,45,True
2732.8869999999997,181.60000000000005,33,26,True
2863.002000000001,207.6,26,29,True
4975.981000000001,349.09999999999997,60,53,True
4712.541,331.1000000000001,43,43,True
4263.3949999999995,304.0999999999999,46,46,True
3948.252000000001,281.5,44,44,True
4056.5499999999993,280.3,42,31,True
2725.103,203.09999999999997,36,36,True
2290.9370000000004,160.1,29,18,True
5691.413999999999,336.90000000000003,53,44,True
2913.893,211.59999999999997,22,29,True
2042.3999999999999,150.1,18,18,True
2657.7799999999997,158.70000000000002,23,23,True
4666.109999999999,328.00000000000006,48,48,True
5178.9529999999995,358.4,44,47,True
