nx_shortest_path_length,nx_shortest_travel_time_length,shortest_steps,time_steps,unique_node
4697.5869999999995,323.9000000000001,47,52,True
2976.7120000000004,196.99999999999994,28,29,True
1023.593,61.8,11,7,True
4672.704,317.90000000000003,56,58,True
1008.4889999999998,73.69999999999999,10,10,True
2201.0309999999995,145.5,27,26,True
2453.109,165.1,20,20,True
3826.9430000000016,259.29999999999995,48,47,True
2032.5449999999998,138.50000000000003,20,20,True
4290.742,308.3999999999999,45,45,True
336.528,22.1,4,4,True
1978.538,129.7,22,22,True
5275.856999999999,347.3000000000001,53,51,True
394.40999999999997,25.599999999999998,6,6,True
3930.1239999999993,252.0,45,30,True
5551.656999999999,374.49999999999994,52,60,True
3750.6040000000003,205.3,28,20,True
4723.442,320.70000000000005,54,45,True
5143.7210000000005,343.8,58,48,True
3787.2149999999992,286.3999999999999,39,39,True
211.90800000000002,13.700000000000001,4,4,True
2721.6550000000007,180.7,38,40,True
1168.88,77.0,14,11,True
2941.9040000000005,194.40000000000006,32,27,True
4141.6810000000005,238.3,33,25,True
2551.17,188.80000000000004,33,32,True
2727.687,195.8,31,34,True
1485.5810000000001,96.8,18,17,True
2106.4639999999995,151.40000000000003,19,20,True
5267.433000000001,365.59999999999985,54,47,True
730.511,52.300000000000004,11,11,True
2129.72,138.79999999999995,18,18,True
3198.3820000000005,223.5,31,31,True
596.5769999999999,38.900000000000006,8,8,True
4626.536000000001,330.39999999999986,59,55,True
3527.513,246.60000000000002,33,34,True
3803.692,265.2,37,36,True
6025.559,333.8,46,38,True
2197.6459999999997,160.6,25,25,True
2605.34,170.89999999999998,32,23,True
1920.5349999999999,123.3,18,17,True
799.364,52.5,12,12,True
601.264,44.800000000000004,8,8,True
6671.233000000003,463.89999999999986,60,53,True
3941.013000000001,277.6999999999999,42,42,True
3695.2599999999998,262.3,40,35,True
2987.6859999999997,235.10000000000002,36,32,True
2831.4429999999993,193.00000000000006,34,33,True
1502.3349999999998,96.39999999999999,22,22,True
3316.3140000000003,216.70000000000002,38,32,True
3020.0759999999996,221.00000000000006,29,28,True
1578.627,103.50000000000001,25,20,True
2343.772,152.29999999999998,23,23,True
3424.471,228.89999999999992,36,34,True
1995.822,147.9,21,21,True
3254.935,220.10000000000002,33,28,True
4767.488,315.4,54,54,True
471.116,30.6,7,7,True
316.58900000000006,21.4,6,6,True
4394.955999999999,300.99999999999994,44,35,True
1857.9869999999996,122.0,19,19,True
2340.48,171.1,30,31,True
684.684,46.900000000000006,8,8,True
1868.761,190.00000000000003,20,26,True
3883.4280000000003,220.49999999999997,30,30,True
1381.9289999999996,102.49999999999999,15,15,True
4093.3910000000005,288.59999999999997,40,43,True
1573.0919999999999,105.6,20,21,True
2828.3290000000006,196.59999999999997,21,21,True
4117.3769999999995,275.79999999999995,46,40,True
785.6530000000001,54.7,8,8,True
1879.86,128.4,17,17,True
4866.573000000001,338.20000000000005,58,57,True
1768.1080000000002,119.9,18,18,True
3672.6990000000005,203.49999999999994,27,27,True
3786.0060000000008,269.8,35,30,True
3050.2329999999997,221.60000000000002,29,29,True
2682.9080000000004,175.49999999999997,29,28,True
964.3430000000001,62.8,14,14,True
2430.2810000000004,175.89999999999998,24,24,True
2573.23,265.6,27,28,True
1654.0680000000002,106.0,20,20,True
4841.648999999999,339.19999999999993,48,46,True
3788.372,254.3,45,35,True
1726.0720000000001,112.50000000000001,24,23,True
4282.2609999999995,281.79999999999995,36,36,True
2891.356,192.0,29,31,True
2379.9880000000007,168.70000000000002,29,29,True
3389.9180000000006,223.89999999999998,32,36,True
4481.792,248.60000000000002,29,30,True
1427.7209999999998,187.09999999999997,17,23,True
3995.4399999999996,286.69999999999993,38,38,True
2035.341,146.89999999999998,17,17,True
299.286,22.400000000000002,5,5,True
1964.4089999999999,139.5,22,22,True
3859.781,274.99999999999994,31,34,True
4144.092000000001,292.6,53,37,True
5275.241000000001,373.0,52,49,True
3237.8900000000003,234.89999999999998,39,42,True
4591.019000000001,350.3,39,44,True
1254.616,93.39999999999999,15,15,True
3236.5460000000007,220.30000000000004,37,37,True
3392.113999999999,209.50000000000006,33,21,True
2211.612,145.29999999999998,19,19,True
3520.3370000000004,459.69999999999993,36,38,True
2734.5810000000006,178.89999999999998,31,32,True
4850.940999999998,317.70000000000005,56,56,True
3786.138,231.59999999999997,29,25,True
4837.749,310.29999999999995,54,48,True
1288.622,84.39999999999999,14,14,True
414.408,27.0,6,6,True
3634.9739999999997,352.9,47,38,True
832.6290000000001,58.099999999999994,14,14,True
2162.123,149.3,22,23,True
1142.243,85.3,18,18,True
787.7919999999999,54.10000000000001,11,11,True
386.617,24.6,5,5,True
2880.1739999999995,188.29999999999998,29,29,True
450.67800000000005,29.299999999999997,7,7,True
4559.892999999999,299.3999999999999,38,33,True
4768.001000000001,340.3999999999999,36,36,True
3750.6430000000005,232.39999999999998,34,30,True
4644.879000000001,272.5,30,30,True
2100.7980000000002,148.29999999999998,26,26,True
4664.726,342.4,46,46,True
3467.2660000000005,235.30000000000004,41,41,True
1152.567,83.2,16,16,True
693.295,45.1,10,10,True
2146.087,153.99999999999997,28,24,True
1732.1909999999998,123.50000000000001,25,26,True
1796.1699999999996,123.40000000000002,24,20,True
3832.4559999999997,273.29999999999995,42,37,True
2267.1929999999998,158.00000000000003,27,26,True
977.361,100.2,12,12,True
3154.2419999999997,225.40000000000003,38,31,True
5349.227999999999,469.29999999999984,46,46,True
3552.365,251.7,42,32,True
5323.837,373.4,58,51,True
3733.8640000000005,274.6,33,27,True
365.36299999999994,24.0,7,7,True
1728.4799999999998,170.5,18,20,True
551.55,35.6,7,7,True
4312.946,298.0,36,41,True
4088.3110000000006,294.99999999999994,41,42,True
695.696,46.00000000000001,10,10,True
4314.122,263.4,42,30,True
611.276,41.2,8,10,True
737.2159999999999,50.5,10,10,True
5191.903999999999,360.9000000000001,40,40,True
3855.862,328.7,37,41,True
3905.576,258.9,42,39,True
3239.052,218.90000000000003,35,35,True
5202.153,362.6999999999999,54,48,True
1497.5639999999999,176.39999999999995,14,23,True
3710.167999999999,271.4,35,35,True
1549.8890000000004,105.19999999999999,20,22,True
1110.0259999999998,71.6,17,16,True
1698.819,123.1,20,20,True
5529.447000000001,356.3,43,50,True
3417.1680000000006,232.50000000000006,37,33,True
3434.6169999999997,223.6,36,26,True
4874.397000000001,331.70000000000005,52,42,True
2200.913,160.8,25,25,True
1337.468,93.19999999999999,16,16,True
2962.907,205.2,43,22,True
459.191,30.0,7,8,True
3866.881,273.3,38,40,True
2680.443,186.49999999999994,34,33,True
1284.432,87.89999999999999,14,14,True
1277.7690000000002,85.3,17,15,True
1179.4969999999998,78.80000000000001,17,17,True
3994.676,262.5,42,43,True
508.832,32.9,7,7,True
3591.185,257.3,27,27,True
