nx_shortest_path_length,nx_shortest_travel_time_length,shortest_steps,time_steps,unique_node
4534.221,316.6000000000001,44,45,True
1947.5490000000002,145.10000000000002,19,19,True
3865.5069999999996,253.30000000000004,38,38,True
4265.872,302.4,32,32,True
1163.599,75.70000000000002,17,16,True
4566.106,267.9,34,31,True
2734.3470000000007,190.79999999999998,35,33,True
1268.044,81.6,10,10,True
5166.026000000001,336.9999999999999,59,60,True
1690.8329999999996,202.60000000000002,21,19,True
715.3460000000001,46.49999999999999,10,10,True
3229.8770000000004,233.6,30,30,True
4611.486,307.6000000000001,52,48,True
5689.324,386.7000000000001,57,60,True
2549.122,184.69999999999996,28,28,True
1086.6670000000001,75.39999999999999,15,17,True
3102.507,223.0,33,33,True
77.501,5.699999999999999,3,3,True
2399.4100000000003,156.40000000000003,26,28,True
1182.544,88.10000000000002,15,15,True
2611.7180000000003,157.20000000000002,24,24,True
2734.4510000000005,197.79999999999995,28,28,True
2420.824,168.99999999999997,27,31,True
3180.941,231.6,30,33,True
2884.8790000000004,204.49999999999997,37,25,True
4095.316,301.1000000000001,41,41,True
4178.342,287.1,53,48,True
1571.9389999999996,114.39999999999999,23,23,True
1550.337,107.10000000000001,21,21,True
969.3470000000001,63.0,13,13,True
891.955,58.8,12,12,True
3860.0230000000006,273.09999999999997,43,38,True
4909.731,331.70000000000005,54,40,True
4330.998000000001,303.8,48,48,True
4429.764999999999,308.7,45,39,True
4692.086,328.8999999999999,32,32,True
5864.324,395.70000000000016,46,46,True
2020.3609999999994,136.49999999999997,22,21,True
4954.261999999999,295.90000000000003,32,31,True
1660.412,130.9,16,16,True
1185.1810000000003,77.0,16,16,True
3781.781000000001,251.59999999999997,46,39,True
2361.444,164.8,19,21,True
3783.643,265.5,40,40,True
824.936,55.6,9,9,True
2564.733,165.90000000000003,31,32,True
3036.0319999999997,205.0,28,22,True
2491.4310000000005,178.60000000000002,21,24,True
5045.897,355.7,47,34,True
2535.726,188.39999999999998,23,23,True
4252.133,263.59999999999997,34,30,True
1774.415,126.60000000000001,22,23,True
1057.123,68.80000000000001,11,11,True
3535.381999999999,244.6,28,32,True
4895.883,326.70000000000005,59,56,True
2864.0399999999995,186.40000000000003,27,23,True
2136.1859999999997,144.40000000000003,25,20,True
1915.009,142.70000000000002,27,27,True
4712.9580000000005,329.49999999999994,50,44,True
2748.4109999999996,183.2,28,22,True
2536.238,189.1,28,28,True
387.722,28.9,6,6,True
907.8609999999999,62.9,11,11,True
2397.113,173.70000000000002,22,22,True
3202.7720000000004,222.50000000000003,33,33,True
1499.0500000000002,109.60000000000001,25,25,True
1608.873,104.60000000000002,25,21,True
